S.N,DISTRICT,Village,"Well
Type",Lat,Long,pH,"EC
(µS/ cm)",TDS,TH,Ca,Mg,Na,K,CO3,"HCO
3",Cl,"NO
3","SO
4",F,"U
(ppb)",SAR,RSC
,,,,,,,,mg/L,,,,,,,,,,,,,,
1,Amravati,Chikhili,EW,21.51,77.126,7.2,508,325,195,34,27,38,1,0,323,14,20,0,0.62,0,1.18,1.37
2,Amravati,Chikhili,EW,21.51,77.126,7.26,508,325,200,26,33,39,1,0,330,18,19,0,0.57,0,1.2,1.39
3,Amravati,Chikhili,EW,21.51,77.126,7.26,507,324,195,20,35,39,1,0,323,21,15,0.6,0.64,0,1.22,1.41
4,Amravati,Chikhili,EW,21.51,77.126,7.65,468,299,210,28,34,35,1,0,311,21,18,0.04,0.57,0,1.05,0.9
5,Amravati,Bod,EW,21.531,76.992,7.56,662,424,250,96,2,34,0,0,330,32,23,14,1.03,0,0.94,0.39
6,Bhandara,Station Toli,EW,21.344,80.405,7.46,898,575,185,48,16,118,10,0,244,25,116,119,0.35,ND,1.33,0.3
7,Bhandara,Pawanar Khari,Zone-1,21.534,79.709,7.68,769,492,250,52,29,49,7,0,165,113,20,71,1.15,ND,0.48,-2.3
8,Buldhana,Shekapur,Pz-1,20.46,75.46,7.43,706,452,210,34,30,60,8,0,262,46,41,46,2.27,0.06,1.81,0.1
9,Buldhana,Shekapur,Pz-2,20.46,75.46,7.63,733,469,145,36,13,97,4,0,189,85,19,71,5.35,BDL,3.52,0.2
10,Buldhana,Warwand,Pz-3,20.51,76.279,7.14,1227,785,200,62,11,184,13,0,214,195,45,98,1.23,1.75,5.67,-0.5
11,Buldhana,Chikhala,Pz,20.454,76.094,7.91,814,521,295,56,38,47,1,0,177,74,128,52,0.46,BDL,1.19,-3
12,Buldhana,Chikhala,Pz,20.454,76.094,8.12,686,439,255,44,35,40,2,0,140,71,119,45,0.39,BDL,1.08,-2.8
13,Buldhana,Mandapgaon,Pz,20.097,76.207,7.75,795,509,250,40,36,66,2,0,275,74,20,50,0.55,BDL,1.82,-0.5
14,Buldhana,"Chinchol
(Borkul)",Pz,20.004,76.142,7.21,2405,1539,940,270,64,103,15,0,470,464,20,155,0.28,2.55,1.46,-11.1
15,Buldhana,Daregaon,Pz,20.16,76.353,7.4,1154,739,410,82,50,69,2,0,439,89,45,62,0.29,1.82,1.48,-1
16,Buldhana,Shindi,Pz,20.204,76.369,7.58,745,477,180,30,26,88,2,0,299,46,37,33,0.54,0.29,2.84,1.3
17,Buldhana,Dhorve,Pz,20.083,76.318,7.49,618,396,190,40,22,49,3,0,256,25,45,29,0.22,2.16,1.54,0.4
18,Buldhana,Raipur,Pz,20.387,76.147,7.14,989,633,310,40,51,65,1,0,299,67,108,62,0.37,0.24,1.61,-1.3
19,Buldhana,Chandol,Pz,20.333,76.011,7.27,997,638,190,20,34,109,10,0,268,121,35,52,1.8,0.2,3.44,0.6
20,Buldhana,Jamb,Pz,20.316,75.948,7.25,1137,728,310,36,53,88,10,0,323,103,92,69,0.94,0.74,2.18,-0.87
21,Buldhana,Raipur,Pz,20.387,76.147,6.92,933,597,290,36,49,66,8,0,342,57,67,67.7,0.54,1.37,1.68,-0.23
22,Buldhana,Baigaon Badruk,Pz,20.147,76.282,7.39,658,421,135,14,24,84,2,0,360,18,3,20,0.83,0.4,3.16,3.2
23,Buldhana,Wardhadi,Pz,19.888,76.263,7.46,1000,640,325,34,58,62,13,0,330,71,100,62,0.57,0.37,1.48,-1.1
24,Buldhana,Jambora,Pz,19.955,76.276,7.34,1167,747,310,24,61,96,21,0,403,85,61,86,0.47,0.81,2.38,0.4
25,Buldhana,Bhosa,Pz,19.866,76.162,7.47,2161,1383,645,76,111,102,28,0,305,206,354,138,0.68,2.17,1.74,-7.9
26,Buldhana,Hiwarkhed,Pz,20.022,76.261,7.18,711,455,130,24,17,92,8,0,226,82,9,57,1.52,0.46,3.51,1.1
27,Buldhana,Digras Kh,Pz,20.043,20.043,7.26,1584,1014,380,54,60,128,30,0,293,191,142,121,0.54,1.59,2.85,-2.8
28,Buldhana,Kinggaon Raja,Pz,20.022,76.261,7.11,637,407,140,34,13,78,2,0,232,57,28,43,0.43,0.66,2.87,1
29,Buldhana,Chincholi Jahagir,Pz,19.873,76.209,7.78,1060,678,270,34,45,96,17,0,311,99,81,80,0.75,1.96,2.54,-0.3
30,Buldhana,Sindkhedraja,Pz,19.951,76.121,7.05,1013,648,255,44,35,103,21,0,391,89,36,70,0.54,1.2,2.8,1.3
31,Buldhana,Sakarkherda,Pz,20.212,76.396,7.23,1879,1203,395,78,49,126,58,0,470,227,49,70,0.38,1.85,2.77,-0.2
