S.No.,District,Location,Latitude,Longitude,pH,EC,TDS,TH,Ca,Mg,Na,K,"CO
3","HCO
3",Cl,"SO
4","NO
3",F,U,SAR,RSC
,,,,,,µS/cm,mg/l,,,,,,,,,,,,µg/l,,
1,Ahmednagar,Kokangaon,19.592,74.3,7.9,1315,842,465,80,64,88,1.6,0,519,121,62,18,0.53,2.02,1.78,-0.8
2,Ahmednagar,Vadala Bhairoba,19.433,74.9,7.55,1513,968,510,116,53,96,7.2,0,293,191,187,64,0.18,2.33,1.86,-5.4
3,Ahmednagar,Ghotan,19.4,75.3,7.36,6611,4231,1900,349,250,380,450,0,757,1202,824,200,0.11,9.3,3.79,-25.6
4,Ahmednagar,Bote,19.278,74.228,7.97,1276,817,425,76,57,88,2.1,0,305,103,80,200,0.31,1.12,1.85,-3.5
5,Ahmednagar,Rajur,19.525,73.925,7.85,638,409,290,50,40,16,0.3,0,323,25,18,11,0.2,0.56,0.4,-0.5
6,Ahmednagar,Sangamner,19.567,74.221,8.14,1810,1158,460,80,63,203,5,0,445,199,125,197,0.69,3.62,4.11,-1.9
7,Ahmednagar,Ambikhalsa,19.35,74.175,8.02,951,609,250,50,30,105,0.8,0,378,60,53,39,0.54,1.57,2.87,1.2
8,Ahmednagar,Rahata,19.717,74.483,7.63,3930,2515,1025,210,122,440,1.6,0,439,904,160,200,0.45,7.46,5.98,-13.3
9,Ahmednagar,Dehre,19.233,74.667,8.08,517,331,190,60,10,28,1.1,0,207,50,16,3,0.24,0,0.87,-0.4
10,Ahmednagar,Jakhangaon,19.106,74.631,7.76,3735,2390,1230,210,171,297,6.1,0,360,397,890,80,0.59,7.96,3.68,-18.7
11,Ahmednagar,Babhuleshwar,19.6,74.508,8.11,869,556,280,60,32,73,0.4,0,366,53,47,13,0.6,2.06,1.89,0.4
12,Ahmednagar,Supe,18.96,74.539,7.78,2007,1284,470,80,66,223,9.6,0,421,245,141,198,1.25,3.5,4.47,-2.5
13,Ahmednagar,Dahigaon,18.963,74.807,7.56,4286,2743,1000,200,122,336,330.3,0,366,525,924,200,0.45,9.87,4.61,-14
14,Ahmednagar,Rakshi,19.356,75.317,8.12,784,502,280,60,32,44,6.4,0,293,57,63,17,0.56,0.16,1.15,-0.8
15,Ahmednagar,Devlali,19.475,74.621,7.91,1940,1242,455,56,77,220,11.4,0,482,238,160,80,0.52,2.97,4.47,-1.2
16,Ahmednagar,Malharwadi,19.383,74.582,7.82,740,474,240,40,34,59,2.4,0,244,78,46,14,0.69,0,1.65,-0.8
17,Ahmednagar,Bambori,19.289,74.738,8.02,493,315,190,34,26,28,0.6,0,183,39,38,9,0.32,0,0.89,-0.8
18,Ahmednagar,Sonai,19.396,74.821,7.89,675,432,245,50,29,37,1.1,0,287,43,31,10,0.29,0.26,1.02,-0.2
19,Ahmednagar,Shirasgaon,19.55,75.101,7.99,924,591,280,60,32,79,4,0,244,110,106,9,0.26,0.07,2.06,-1.6
20,Ahmednagar,Jamkhed,18.733,75.317,7.96,2296,1469,860,136,126,117,8.2,0,622,316,160,46,0.49,4.56,1.73,-7
21,Ahmednagar,Chandanapuri,19.483,74.2,7.77,1049,671,335,64,43,78,1.1,0,275,128,54,67,0.31,0.47,1.85,-2.2
22,Ahmednagar,Bhitkewadi,18.644,74.897,7.78,707,452,240,50,28,58,0.7,0,232,60,46,68,0.47,0,1.62,-1
23,Ahmednagar,Pategaon,18.633,75.1,7.63,1438,920,345,40,60,149,25.4,0,366,216,95,18,0.59,0.09,3.5,-0.9
24,Ahmednagar,Kolwadi,18.517,74.983,7.97,2742,1755,465,80,64,316,126.3,0,696,475,79,65,0.23,4.38,6.36,2.1
25,Ahmednagar,Tambhol,19.517,74.253,8.25,273,175,125,26,15,6,0.6,0,73,46,9,4,0.1,0,0.23,-1.3
26,Ahmednagar,Vadegaon Madhe,18.617,74.617,7.51,2068,1324,740,102,118,110,0.9,0,207,355,299,60,0.26,3.15,1.76,-11.4
27,Ahmednagar,Takli-Dhogeswar-1,19.139,74.387,8.03,757,485,225,40,30,67,1.8,0,366,43,20,5,0.75,0,1.95,1.5
28,Ahmednagar,Kokona-1,19.418,75.088,7.53,1965,1258,760,146,96,89,0.9,0,299,301,160,195,0.39,2.11,1.4,-10.3
29,Ahmednagar,Chichondi Patil,19.001,74.917,7.77,1298,831,405,70,56,96,1.8,0,281,188,120,20,0.37,0.55,2.08,-3.5
30,Ahmednagar,Ghodegaon-1,19.355,74.873,8.18,839,537,225,40,30,86,0.8,0,305,60,75,7,0.44,0.56,2.48,0.5
31,Ahmednagar,Loni-Pravara Nagar,19.592,74.482,7.83,1386,887,460,82,62,99,0.6,0,354,195,109,35,0.35,2.15,2.01,-3.4
32,Ahmednagar,Khosepuri-1,19.271,74.852,7.88,992,635,330,56,46,75,2.6,0,452,60,45,16,0.63,0.7,1.79,0.8
33,Ahmednagar,Jamkhed-1,18.707,75.297,7.56,1270,813,460,60,75,70,1.2,0,256,174,158,23,0.45,2.37,1.41,-5
34,Ahmednagar,Khokar,19.616,74.743,7.59,1785,1142,640,132,75,102,3.1,0,244,316,200,58,0.25,4.53,1.76,-8.8
35,Ahmednagar,Taklibhan-1,19.986,75.373,7.84,620,397,235,48,28,35,0.5,0,238,43,36,24,0.13,0.22,1,-0.8
36,Ahmednagar,Nevasa Bk,19.527,74.954,7.64,2248,1439,750,132,102,170,3.2,0,415,312,160,200,0.31,4.91,2.71,-8.2
37,Ahmednagar,Bhanas Hivre,19.489,74.967,7.85,826,528,300,60,36,54,1,0,305,82,47,12,2.08,0.32,1.36,-1
38,Ahmednagar,Shani Shingnapur,19.527,74.954,8.2,2779,1779,215,40,28,543,7.4,0,805,206,391,20,0.72,3.31,16.1,8.9
39,Ahmednagar,Karanji,19.132,74.985,7.9,822,526,290,46,43,59,0.9,0,281,67,42,65,0.83,0.14,1.5,-1.2
40,Ahmednagar,Jeur,19.213,74.803,8.1,1546,989,285,54,36,179,77.9,0,299,156,159,200,0.84,0.55,4.6,-0.8
41,Ahmednagar,Kalsubai,19.612,73.732,7.49,356,228,150,40,12,11,1.3,0,140,25,17,15,0.16,0,0.41,-0.7
42,Ahmednagar,Bhandardara,19.537,73.769,7.71,227,145,95,26,7,6,2.2,0,92,18,12,3,0.1,0,0.28,-0.4
43,Ahmednagar,Banpimpri,18.833,74.867,7.5,3248,2079,700,104,107,402,62.8,0,519,507,395,80,0.77,7.45,6.6,-5.5
44,Ahmednagar,Shrigonda,18.617,74.717,7.8,1933,1237,750,180,73,96,5,0,506,280,152,21,0.4,6.08,1.53,-6.7
45,Ahmednagar,Rassin,18.433,74.933,7.6,1186,759,385,52,62,82,21.8,0,311,138,126,14,0.3,0.71,1.81,-2.6
46,Ahmednagar,Chas,19,74.633,7.91,980,627,315,64,38,80,7.5,0,366,103,42,16,0.46,0.82,1.96,-0.3
47,Ahmednagar,Walvad,18.633,74.883,7.93,884,566,215,40,28,103,0.6,0,311,74,53,35,1.18,0.1,3.06,0.8
48,Ahmednagar,Chikhale,18.867,74.717,7.32,5627,3601,2000,621,109,301,184.5,0,567,1219,390,200,0.24,12.56,2.93,-30.7
49,Ahmednagar,Takle-Kazi,19.033,74.833,7.5,1238,792,475,90,61,61,2.4,0,250,152,79,157,0.26,2.43,1.22,-5.4
50,Ahmednagar,Mirajgaon-3,18.722,75.217,7.59,1696,1085,440,84,56,186,2.6,0,275,269,160,73,0.49,1.46,3.85,-4.3
51,Ahmednagar,Ghogargaon-1,18.812,74.896,7.48,2046,1309,515,80,77,232,8.5,0,360,383,158,10,0.57,1.29,4.45,-4.4
52,Ahmednagar,Arangaon-3,18.675,75.181,7.85,1215,778,345,60,47,121,3.9,0,281,191,89,41,0.64,0.58,2.83,-2.3
53,Ahmednagar,Baradgaon Sudrik,18.458,74.823,7.82,1595,1021,265,50,34,225,15.6,0,397,227,127,23,0.67,0.73,6.01,1.2
54,Ahmednagar,Wadarwadi,18.453,74.749,7.53,1642,1051,535,120,57,120,0.7,0,207,216,300,40,0.38,1.89,2.25,-7.3
55,Ahmednagar,Khadki,19.018,74.648,8.07,620,397,235,40,33,38,1.4,0,140,64,68,49,0.39,0,1.09,-2.4
56,Ahmednagar,Ghargaon,19.018,74.648,7.77,973,623,265,50,34,101,0.6,0,384,74,59,28,0.82,2.1,2.71,1
57,Ahmednagar,Hivrebazar,19.077,74.656,7.73,638,408,215,58,17,48,0.4,0,183,53,41,60,0.7,0,1.43,-1.3
58,Ahmednagar,Ralegaon Siddhi,18.916,74.41,7.97,1051,673,315,60,40,90,10.2,0,256,181,49,17,0.33,0.37,2.21,-2.1
59,Ahmednagar,Kotul,19.425,73.973,7.73,695,445,300,60,36,21,0.3,0,262,46,32,49,0.31,0,0.54,-1.7
60,Ahmednagar,Arangaon-1,19.025,74.718,7.94,665,425,205,26,34,53,2,0,195,85,42,11,0.37,0,1.61,-0.9
61,Ahmednagar,Rehekuri,18.609,74.972,7.92,665,426,190,38,23,65,0.8,0,195,71,49,40,0.7,0,2.06,-0.6
62,Ahmednagar,Khamgaon,19.386,75.17,7.48,2921,1869,1080,226,125,167,2.5,0,854,330,79,80,0.44,6.06,2.21,-7.6
63,Ahmednagar,Kolpewadi-1,19.899,74.37,7.72,2092,1339,570,40,114,219,1.7,0,488,358,85,57,0.27,4.95,3.98,-3.4
64,Akola,Pinjar,20.547,77.256,7.63,962,616,355,84,35,87,3,0,494,89,58,5,1.2,1.07,2.01,1
65,Akola,Wyala,20.675,76.888,7.55,5119,3276,1810,313,250,333,39.2,0,622,872,552,304,0.59,7.62,3.4,-26
66,Akola,Chani,20.461,76.775,7.63,1134,726,485,84,67,66,1.8,0,525,103,48,77,0.73,0.36,1.31,-1.1
